id,climate,type,vav_min_frac,vintage,vav_sizing,heating_sp,cooling_sp,terminal_heating,central_heating,cooling,fans,hvac
HighNewVAVAuto.Miami.hsp17.67.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,17.67,22.22,0.01997162,0,17.17064448,1.94484696,19.14023504
HighNewVAVAuto.Miami.hsp18.17.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,18.17,22.22,0.04312456,0,17.17276536,1.94484696,19.16550886
HighNewVAVAuto.Miami.hsp18.89.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,18.89,22.22,0.11859254,0,17.17965822,1.94520044,19.24822318
HighNewVAVAuto.Miami.hsp19.17.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,19.17,22.22,0.17355868,0,17.18478368,1.94555392,19.30866826
HighNewVAVAuto.Miami.hsp19.44.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,19.44,22.22,0.24938014,0,17.19185328,1.94608414,19.39208954
HighNewVAVAuto.Miami.hsp19.72.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,19.72,22.22,0.35913568,0,17.20157398,1.9467911,19.51227274
HighNewVAVAuto.Miami.hsp20.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,20,22.22,0.51095534,0,17.21588992,1.94802828,19.67964552
HighNewVAVAuto.Miami.hsp20.28.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,20.28,22.22,0.71880158,0,17.23586154,1.94979568,19.90923078
HighNewVAVAuto.Miami.hsp20.56.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,20.56,22.22,1.00229254,0,17.26537712,1.95280026,20.2252419
HighNewVAVAuto.Miami.hsp20.83.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,20.83,22.22,1.3688513,0,17.3037297,1.95686528,20.63421826
HighNewVAVAuto.Miami.hsp21.11.csp22.22,Miami,HighNewVAVAuto,High,New,TRUE,21.11,22.22,1.87680206,0,17.3594028,1.96287444,21.20385128
HighNewVAVAuto.Miami.hsp21.11.csp22.5,Miami,HighNewVAVAuto,High,New,TRUE,21.11,22.5,1.43300792,0,16.87813978,1.86054198,20.17646166
HighNewVAVAuto.Miami.hsp21.11.csp22.78,Miami,HighNewVAVAuto,High,New,TRUE,21.11,22.78,1.0896021,0,16.40783464,1.7647489,19.26695762
HighNewVAVAuto.Miami.hsp21.11.csp23.06,Miami,HighNewVAVAuto,High,New,TRUE,21.11,23.06,0.84517068,0,15.96280332,1.67620216,18.48894814
HighNewVAVAuto.Miami.hsp21.11.csp23.33,Miami,HighNewVAVAuto,High,New,TRUE,21.11,23.33,0.66966786,0,15.55011542,1.59578546,17.82034072
HighNewVAVAuto.Miami.hsp21.11.csp23.61,Miami,HighNewVAVAuto,High,New,TRUE,21.11,23.61,0.5284526,0,15.1315951,1.51784312,17.1826628
HighNewVAVAuto.Miami.hsp21.11.csp23.89,Miami,HighNewVAVAuto,High,New,TRUE,21.11,23.89,0.41922728,0.00017674,14.722442,1.4448495,16.5914675
HighNewVAVAuto.Miami.hsp21.11.csp24.17,Miami,HighNewVAVAuto,High,New,TRUE,21.11,24.17,0.33421534,0.00035348,14.3212422,1.3759209,16.0365039
HighNewVAVAuto.Miami.hsp21.11.csp24.44,Miami,HighNewVAVAuto,High,New,TRUE,21.11,24.44,0.27005872,0.00053022,13.9377164,1.31335494,15.52643226
HighNewVAVAuto.Miami.hsp21.11.csp24.72,Miami,HighNewVAVAuto,High,New,TRUE,21.11,24.72,0.22057152,0.00106044,13.5550743,1.25184942,15.03332766
HighNewVAVAuto.Miami.hsp21.11.csp25,Miami,HighNewVAVAuto,High,New,TRUE,21.11,25,0.1811585,0.00159066,13.17526004,1.1938787,14.55665988
HighNewVAVAuto.Miami.hsp21.11.csp25.28,Miami,HighNewVAVAuto,High,New,TRUE,21.11,25.28,0.14987552,0.00229762,12.79898058,1.13944278,14.09536848
HighNewVAVAuto.Miami.hsp21.11.csp25.56,Miami,HighNewVAVAuto,High,New,TRUE,21.11,25.56,0.12583888,0.00318132,12.43860772,1.08801144,13.66041134
HighNewVAVAuto.Miami.hsp21.11.csp25.83,Miami,HighNewVAVAuto,High,New,TRUE,21.11,25.83,0.1078114,0.00406502,12.1058063,1.04117534,13.26363004
HighNewVAVAuto.Miami.hsp21.11.csp26.11,Miami,HighNewVAVAuto,High,New,TRUE,21.11,26.11,0.09208154,0.0053022,11.7602796,0.99486946,12.85730478
HighNewVAVAuto.Miami.hsp21.11.csp26.39,Miami,HighNewVAVAuto,High,New,TRUE,21.11,26.39,0.07935626,0.00689286,11.41599008,0.9508612,12.45787238
HighNewVAVAuto.Miami.hsp21.11.csp26.67,Miami,HighNewVAVAuto,High,New,TRUE,21.11,26.67,0.06857512,0.00901374,11.07311448,0.90879708,12.0642724
HighNewVAVAuto.Miami.hsp21.11.csp26.94,Miami,HighNewVAVAuto,High,New,TRUE,21.11,26.94,0.05973812,0.01184158,10.74420134,0.87009102,11.69064404
HighNewVAVAuto.Miami.hsp21.11.csp27.22,Miami,HighNewVAVAuto,High,New,TRUE,21.11,27.22,0.0521383,0.01572986,10.39814442,0.83191518,11.30269974
HighNewVAVAuto.Miami.hsp21.11.csp27.5,Miami,HighNewVAVAuto,High,New,TRUE,21.11,27.5,0.0459524,0.01979488,10.06233842,0.79462304,10.92748072
HighNewVAVAuto.Miami.hsp21.11.csp27.78,Miami,HighNewVAVAuto,High,New,TRUE,21.11,27.78,0.04082694,0.02173902,9.73201136,0.75892156,10.55827086
HighNewVAVAuto.Miami.hsp21.11.csp28.06,Miami,HighNewVAVAuto,High,New,TRUE,21.11,28.06,0.03640844,0.02439012,9.4078702,0.724634,10.19807474
HighNewVAVAuto.Miami.hsp21.11.csp28.33,Miami,HighNewVAVAuto,High,New,TRUE,21.11,28.33,0.0326969,0.02810166,9.1082959,0.69317428,9.86704072
HighNewVAVAuto.Miami.hsp21.11.csp28.61,Miami,HighNewVAVAuto,High,New,TRUE,21.11,28.61,0.02933884,0.02986906,8.8051868,0.66242152,9.5315882
HighNewVAVAuto.Miami.hsp21.11.csp28.89,Miami,HighNewVAVAuto,High,New,TRUE,21.11,28.89,0.02668774,0.03057602,8.50437532,0.63343616,9.19984722
HighNewVAVAuto.Miami.hsp21.11.csp29.17,Miami,HighNewVAVAuto,High,New,TRUE,21.11,29.17,0.02439012,0.03022254,8.21522868,0.60674842,8.88136174
